name,symbol_ricequant,symbol_tushare
300运输,399957.XSHE,399957.SZ
300运输,399957.XSHE,000957.SH
上证商品,000066.XSHG,000066.SH
上证能源,000032.XSHG,000032.SH
上证RP,H50041.XSHG,h50041.CSI
中小低波,399663.XSHE,399663.SZ
大盘高贝,399405.XSHE,399405.SZ
国证医药,399394.XSHE,399394.SZ
国证医药,399394.XSHE,S99394.JZ
创业板指,399006.XSHE,399006.SZ
创业板指,399006.XSHE,S99006.JZ
深市精选,399013.XSHE,399013.SZ
深成信息,399687.XSHE,399687.SZ
内地低碳,000977.XSHG,399977.SZ
内地低碳,000977.XSHG,000977.SH
中小成长,399602.XSHE,399602.SZ
中小成长,399602.XSHE,159917.SZ
央视生态,399556.XSHE,399556.SZ
中证200,399904.XSHE,000904.SH
深证金融,399619.XSHE,399619.SZ
300基建,000950.XSHG,399950.SZ
300基建,000950.XSHG,000950.SH
基本面50,399925.XSHE,399925.SZ
基本面50,399925.XSHE,000925.SH
可选等权,000073.XSHG,000073.SH
上证沪企,000062.XSHG,000062.SH
深证综指,399106.XSHE,399106.SZ
金融等权,000076.XSHG,000076.SH
上证资源,000068.XSHG,000068.SH
中证材料,000929.XSHG,399929.SZ
中证材料,000929.XSHG,000929.SH
中证材料,000929.XSHG,000929.CSI
上证电信,000040.XSHG,000040.SH
300材料,399909.XSHE,000909.SH
300材料,399909.XSHE,L11502.CSI
内地地产,000948.XSHG,399948.SZ
内地地产,000948.XSHG,000948.SH
内地地产,000948.XSHG,000948.CSI
中证700,000907.XSHG,000907.SH
中证700,000907.XSHG,000907.CSI
深证装备,399636.XSHE,399636.SZ
消费领先,000148.XSHG,000148.SH
深证龙头,399653.XSHE,399653.SZ
上证全指,000047.XSHG,000047.SH
医药100,399978.XSHE,399978.SZ
医药100,399978.XSHE,000978.SH
科技100,399608.XSHE,399608.SZ
300公用,399917.XSHE,000917.SH
300公用,399917.XSHE,L11525.CSI
300价值,399919.XSHE,000919.SH
300价值,399919.XSHE,519671.SH
深证成指,399001.XSHE,399001.SZ
深证成指,399001.XSHE,S99001.JZ
800医药,000841.XSHG,000841.SH
持续产业,000114.XSHG,000114.SH
380金融,000110.XSHG,000110.SH
国证1000,399311.XSHE,399311.SZ
全R成长,000059.XSHG,000059.SH
中证金融,000934.XSHG,399934.SZ
中证金融,000934.XSHG,000934.SH
深证GDP,399648.XSHE,399648.SZ
国证有色,399395.XSHE,399395.SZ
国证有色,399395.XSHE,S99395.JZ
中证500,CSI500.INDX,000905.SH
中证500,CSI500.INDX,512500.SH
中证500,CSI500.INDX,S00905.JZ
国证治理,399322.XSHE,399322.SZ
申万传媒,801221.INDX,163117.SZ
深成可选,399683.XSHE,399683.SZ
380R成长,000119.XSHG,000119.SH
沪深300,CSI300.INDX,399300.SZ
沪深300,CSI300.INDX,000300.SH
沪深300,CSI300.INDX,S00300.JZ
上证材料,000033.XSHG,000033.SH
消费50,000126.XSHG,000126.SH
中证环保,000827.XSHG,000827.SH
中证环保,000827.XSHG,S00827.JZ
中小板指,399005.XSHE,399005.SZ
中小板指,399005.XSHE,S99005.JZ
上证可选,000035.XSHG,000035.SH
环渤海,399357.XSHE,399357.SZ
深成金融,399686.XSHE,399686.SZ
中证消费,000932.XSHG,399932.SZ
中证消费,000932.XSHG,000932.SH
中证国企,000955.XSHG,000955.SH
中证国企,000955.XSHG,000955.CSI
技术领先,000973.XSHG,000973.SH
材料等权,000071.XSHG,000071.SH
小盘低波,399408.XSHE,399408.SZ
中创成长,399626.XSHE,399626.SZ
300动态,000843.XSHG,000843.SH
中证红利,000922.XSHG,399922.SZ
中证红利,000922.XSHG,000922.SH
中证200,000904.XSHG,000904.SH
500高贝,000830.XSHG,000830.SH
央视回报,399553.XSHE,399553.SZ
中证消费,399932.XSHE,399932.SZ
中证消费,399932.XSHE,000932.SH
中小创新,399015.XSHE,399015.SZ
红利100,399411.XSHE,399411.SZ
深证可选,399616.XSHE,399616.SZ
基本400,000966.XSHG,000966.SH
中证TMT,000998.XSHG,000998.SH
180稳定,000125.XSHG,000125.SH
小盘高贝,399409.XSHE,399409.SZ
大盘价值,399373.XSHE,399373.SZ
上证环保,000158.XSHG,000158.SH
5年信用,000101.XSHG,000101.SH
380美元对冲,H50063.XSHG,h50063.CSI
300低贝,000829.XSHG,000829.SH
细分农业,000809.XSHG,000809.SH
细分农业,000809.XSHG,000809.CSI
300信息,000915.XSHG,000915.SH
中盘低波,399406.XSHE,399406.SZ
100低波,399645.XSHE,399645.SZ
国证基建,399359.XSHE,399359.SZ
深证责任,399341.XSHE,399341.SZ
大盘低波,399404.XSHE,399404.SZ
CBN-兴全,399369.XSHE,399369.SZ
治理指数,000019.XSHG,000019.SH
1000材料,399382.XSHE,399382.SZ
1000材料,399382.XSHE,h30440.CSI
民企红利,000826.XSHG,000826.SH
国证50,399310.XSHE,399310.SZ
小盘价值,399377.XSHE,399377.SZ
小盘成长,399376.XSHE,399376.SZ
深互联网,399675.XSHE,399675.SZ
300能源,399908.XSHE,000908.SH
300能源,399908.XSHE,L11501.CSI
国证通信,399389.XSHE,399389.SZ
中证电信,000936.XSHG,399936.SZ
中证电信,000936.XSHG,000936.SH
中证电信,000936.XSHG,000936.CSI
中证工业,000930.XSHG,399930.SZ
中证工业,000930.XSHG,000930.SH
中证工业,000930.XSHG,000930.CSI
基金指数,000011.XSHG,399305.SZ
基金指数,000011.XSHG,000011.SH
大盘成长,399372.XSHE,399372.SZ
上证国企,000056.XSHG,000056.SH
180金融,000018.XSHG,000018.SH
深证ETF,399306.XSHE,399306.SZ
深证ETF,399306.XSHE,159943.SZ
中证金融净收益美元,H30314.XSHG,h30314.CSI
中证可选,000931.XSHG,399931.SZ
中证可选,000931.XSHG,000931.SH
申万证券,801193.INDX,163113.SZ
央视50,399550.XSHE,399550.SZ
380公用,000113.XSHG,000113.SH
创业基础,399640.XSHE,399640.SZ
食品饮料,000807.XSHG,000807.SH
300沪市,000972.XSHG,000972.SH
300沪市,000972.XSHG,000972.CSI
投资时钟,399391.XSHE,399391.SZ
中证信息净收益美元,H30315.XSHG,h30315.CSI
智能家居,399996.XSHE,399996.SZ
智能家居,399996.XSHE,165524.SZ
上证央企,000042.XSHG,000042.SH
中证军工,399967.XSHE,399967.SZ
中证军工,399967.XSHE,512560.SH
中证军工,399967.XSHE,S99967.JZ
中证军工,399967.XSHE,h30229.CSI
巨潮中盘,399315.XSHE,399315.SZ
上证银行,000134.XSHG,000134.SH
民企200,399939.XSHE,399939.SZ
民企200,399939.XSHE,000939.SH
内地农业,000949.XSHG,399949.SZ
内地农业,000949.XSHG,000949.SH
内地农业,000949.XSHG,000949.CSI
180R价值,000031.XSHG,000031.SH
